City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Port Elizabeth,ZA,2020-06-14 01:54:18,-33.92,25.57,48.2,87,98,4.7
70,Bethel,US,2020-06-14 01:57:53,41.37,-73.41,57.99,47,1,8.05
71,Nadvoitsy,RU,2020-06-14 01:59:01,63.87,34.32,54.57,75,5,7.29
72,Ambon,ID,2020-06-14 01:59:01,-3.7,128.18,84.2,79,40,6.93
73,Sibu,MY,2020-06-14 01:59:01,2.3,111.82,80.6,78,75,9.17
74,Xining,CN,2020-06-14 01:56:10,36.62,101.77,59.27,50,100,1.66
75,Salamiyah,SY,2020-06-14 01:59:02,35.01,37.05,63.27,49,0,6.02
76,Cherskiy,RU,2020-06-14 01:57:16,68.75,161.3,67.6,40,0,12.15
77,Clyde River,CA,2020-06-14 01:59:02,70.47,-68.59,28.4,100,1,9.17
78,Miramar,US,2020-06-14 01:59:02,25.99,-80.23,82.99,69,20,10.29
79,Santo Antonio Do Ica,BR,2020-06-14 01:59:03,-3.1,-67.94,73.58,95,38,1.83
80,Qaqortoq,GL,2020-06-14 01:59:03,60.72,-46.03,42.8,87,100,8.05
81,Itoman,JP,2020-06-14 01:59:03,26.12,127.67,87.8,84,20,12.75
82,Kapaa,US,2020-06-14 01:59:03,22.08,-159.32,84.2,58,20,16.11
83,Saint-Michel-Des-Saints,CA,2020-06-14 01:57:33,46.68,-73.92,52.0,6,0,2.53
84,Nemuro,JP,2020-06-14 01:59:04,43.32,145.57,77.0,50,40,9.17
85,Hithadhoo,MV,2020-06-14 01:59:04,-0.6,73.08,85.82,70,100,16.37
86,Mitchell,US,2020-06-14 01:56:11,43.71,-98.03,87.8,33,1,16.28
87,Chaihe,CN,2020-06-14 01:59:04,44.77,129.7,74.79,40,0,19.51
88,Cape Town,ZA,2020-06-14 01:58:09,-33.93,18.42,52.0,81,20,6.93
89,Russell,US,2020-06-14 01:59:05,32.35,-85.2,82.4,57,1,4.94
90,Skegness,GB,2020-06-14 01:59:05,53.14,0.34,55.99,92,1,1.99
91,Gorele,TR,2020-06-14 01:59:05,41.03,39.0,64.4,82,75,1.12
92,Saint-Denis,FR,2020-06-14 01:59:06,48.92,2.33,60.8,77,72,6.93
93,Qaanaaq,GL,2020-06-14 01:59:06,77.48,-69.36,41.5,66,0,5.91
94,Nipawin,CA,2020-06-14 01:57:59,53.37,-104.0,80.6,32,1,19.46
95,Moose Factory,CA,2020-06-14 01:59:06,51.26,-80.61,53.6,58,1,6.93
96,San Rafael Del Sur,NI,2020-06-14 01:59:06,11.85,-86.44,76.84,90,100,8.01
97,North Bend,US,2020-06-14 01:59:07,43.41,-124.22,60.01,82,90,10.29
98,Adrar,MR,2020-06-14 01:59:07,20.5,-10.07,93.56,20,0,16.91
99,Kavaratti,IN,2020-06-14 01:59:07,10.57,72.64,85.57,74,100,23.87
100,Saint-Philippe,RE,2020-06-14 01:57:16,-21.36,55.77,68.0,72,75,8.05
101,Berlevag,NO,2020-06-14 01:59:08,70.86,29.09,51.58,61,85,5.37
102,Poretskoye,RU,2020-06-14 01:59:08,55.2,46.33,46.27,92,16,8.32
103,Youghal,IE,2020-06-14 01:59:08,51.95,-7.85,54.0,100,75,8.05
104,Kintampo,GH,2020-06-14 01:59:09,8.06,-1.73,72.07,92,12,4.34
105,Luganville,VU,2020-06-14 01:59:09,-15.53,167.17,82.4,74,75,10.29
106,Bandarbeyla,SO,2020-06-14 01:59:09,9.49,50.81,81.57,62,100,26.91
107,Ilo,PE,2020-06-14 01:59:09,-17.64,-71.34,62.65,80,16,5.73
108,Cidreira,BR,2020-06-14 01:59:10,-30.18,-50.21,53.46,61,90,16.15
109,Coquimbo,CL,2020-06-14 01:59:10,-29.95,-71.34,55.4,66,0,5.82
110,East London,ZA,2020-06-14 01:59:10,-33.02,27.91,56.37,36,91,7.05
111,Abong Mbang,CM,2020-06-14 01:59:10,3.98,13.18,67.05,96,99,1.86
112,Cuamba,MZ,2020-06-14 01:59:11,-14.8,36.54,59.45,92,0,4.68
113,Thompson,CA,2020-06-14 01:57:55,55.74,-97.86,68.0,28,75,4.7
114,Yeppoon,AU,2020-06-14 01:59:11,-23.13,150.73,82.4,58,40,12.75
115,Codrington,AU,2020-06-14 01:59:11,-38.27,141.97,53.37,83,100,19.28
116,Yarmouth,US,2020-06-14 01:59:11,41.71,-70.23,60.8,63,1,6.73
117,Hilo,US,2020-06-14 01:59:12,19.73,-155.09,80.6,57,90,13.87
118,Saldanha,ZA,2020-06-14 01:59:12,-33.01,17.94,53.02,50,0,4.68
119,Benicarlo,ES,2020-06-14 01:59:12,40.42,0.43,55.99,82,15,1.01
120,Nueva Helvecia,UY,2020-06-14 01:59:12,-34.3,-57.23,39.0,55,0,3.0
121,Khatanga,RU,2020-06-14 01:59:12,71.97,102.5,50.95,45,0,12.06
122,Usinsk,RU,2020-06-14 01:59:13,65.99,57.53,45.36,71,80,17.69
123,Ancud,CL,2020-06-14 01:59:13,-41.87,-73.82,46.99,100,90,13.87
124,Funtua,NG,2020-06-14 01:59:13,11.52,7.31,74.79,79,99,7.96
125,Otradnoye,RU,2020-06-14 01:59:14,59.78,30.82,52.0,76,0,3.6
126,Jalu,LY,2020-06-14 01:59:14,29.03,21.55,71.11,38,0,8.08
127,Mirnyy,RU,2020-06-14 01:59:14,62.54,113.96,53.6,76,75,6.71
128,Ayagoz,KZ,2020-06-14 01:59:15,47.97,80.44,71.2,34,0,6.42
129,Tual,ID,2020-06-14 01:59:15,-5.67,132.75,81.46,82,85,20.67
130,Japura,ID,2020-06-14 01:59:15,-0.32,102.35,79.97,77,100,3.96
131,Mantua,IT,2020-06-14 01:59:15,45.17,10.78,62.01,93,100,5.01
132,Pisco,PE,2020-06-14 01:59:16,-13.7,-76.22,64.4,82,90,3.36
133,Ostrovnoy,RU,2020-06-14 01:59:16,68.05,39.51,57.94,58,23,18.21
134,Lebu,CL,2020-06-14 01:59:16,-37.62,-73.65,46.78,74,90,5.86
135,Los Llanos De Aridane,ES,2020-06-14 01:59:16,28.66,-17.92,69.8,73,20,6.93
136,Ribeira Grande,PT,2020-06-14 01:59:16,38.52,-28.7,61.63,72,9,15.66
137,Jamestown,US,2020-06-14 01:56:14,42.1,-79.24,53.6,46,1,6.93
138,Troitsk,RU,2020-06-14 01:59:17,54.1,61.58,50.86,62,100,4.92
139,San Fernando,PH,2020-06-14 01:59:17,15.03,120.69,84.2,79,75,2.24
140,Mount Isa,AU,2020-06-14 01:59:17,-20.73,139.5,78.8,21,0,12.75
141,Klaksvik,FO,2020-06-14 01:59:18,62.23,-6.59,48.2,93,39,4.7
142,Vardo,NO,2020-06-14 01:59:18,70.37,31.11,47.5,69,100,9.4
143,San Cristobal,VE,2020-06-14 01:59:18,7.77,-72.22,67.23,89,100,3.51
144,Bathsheba,BB,2020-06-14 01:59:18,13.22,-59.52,80.6,74,40,14.99
145,Port Moresby,PG,2020-06-14 01:59:18,-9.44,147.18,87.8,74,75,11.41
146,Airai,TL,2020-06-14 01:59:19,-8.93,125.41,71.38,57,0,6.17
147,Kieta,PG,2020-06-14 01:59:19,-6.22,155.63,85.3,69,62,5.46
148,Te Anau,NZ,2020-06-14 01:55:24,-45.42,167.72,52.07,61,0,4.92
149,Muisne,EC,2020-06-14 01:59:20,0.6,-80.03,75.22,85,74,6.8
150,Arraial Do Cabo,BR,2020-06-14 01:55:05,-22.97,-42.03,74.88,84,0,4.21
151,Outlook,CA,2020-06-14 01:59:20,51.5,-107.05,78.69,57,91,13.91
152,Gazli,UZ,2020-06-14 01:59:20,40.13,63.45,86.0,13,0,6.51
153,Barre,US,2020-06-14 01:59:20,44.2,-72.5,48.2,70,90,3.36
154,Zelezna Ruda,CZ,2020-06-14 01:59:21,49.14,13.24,63.0,85,1,4.0
155,Muroto,JP,2020-06-14 01:59:22,33.28,134.15,78.8,88,75,6.93
156,Hargeysa,SO,2020-06-14 01:59:22,9.56,44.06,68.45,70,97,27.31
157,Nanortalik,GL,2020-06-14 01:59:22,60.14,-45.24,39.94,91,100,10.8
158,Garden City,US,2020-06-14 01:57:02,42.33,-83.33,60.8,41,40,10.29
159,Iraquara,BR,2020-06-14 01:59:22,-12.25,-41.62,62.82,90,2,3.69
160,Silver City,US,2020-06-14 01:59:23,32.77,-108.28,78.8,29,40,23.04
161,Takoradi,GH,2020-06-14 01:59:23,4.88,-1.76,77.76,88,94,7.56
162,Eyl,SO,2020-06-14 01:59:23,7.98,49.82,81.95,57,85,22.28
163,Sinazongwe,ZM,2020-06-14 01:57:26,-17.26,27.46,63.45,57,52,1.59
164,Mutare,ZW,2020-06-14 01:59:23,-18.97,32.67,51.17,92,100,4.36
165,Evensk,RU,2020-06-14 01:59:24,61.95,159.23,59.47,52,100,6.06
166,Mungaoli,IN,2020-06-14 01:59:24,24.42,78.1,89.2,48,75,4.56
167,Dongkan,CN,2020-06-14 01:59:24,34.0,119.83,85.82,64,55,6.17
168,Kilindoni,TZ,2020-06-14 01:59:25,-7.91,39.67,78.98,73,98,21.3
169,Tokur,RU,2020-06-14 01:59:25,53.13,132.9,63.63,43,44,5.93
170,Camacari,BR,2020-06-14 01:59:25,-12.7,-38.32,78.8,83,40,5.82
171,Kargil,IN,2020-06-14 01:59:25,34.57,76.1,46.53,53,58,4.34
172,Provideniya,RU,2020-06-14 01:59:25,64.38,-173.3,47.39,79,97,5.91
173,Abu Samrah,SY,2020-06-14 01:59:26,35.3,37.18,64.29,44,0,4.05
174,Sept-Iles,CA,2020-06-14 01:55:47,50.2,-66.38,51.01,46,20,6.93
175,Carbonia,IT,2020-06-14 01:59:26,39.17,8.52,64.4,88,2,1.12
176,Ocampo,MX,2020-06-14 01:59:26,21.65,-101.5,60.71,49,0,14.65
177,Victoria,HK,2020-06-14 01:54:56,22.29,114.16,82.0,95,73,1.01
178,Kadyy,RU,2020-06-14 01:59:27,57.79,43.19,47.37,79,5,6.31
179,Kui Buri,TH,2020-06-14 01:59:27,12.08,99.85,86.0,70,20,4.7
180,Jumla,NP,2020-06-14 01:59:27,29.27,82.18,67.26,54,0,2.3
181,Kenai,US,2020-06-14 01:59:28,60.55,-151.26,64.4,48,1,8.05
182,Maues,BR,2020-06-14 01:59:28,-3.38,-57.72,75.09,90,0,0.69
183,Pasni,PK,2020-06-14 01:59:28,25.26,63.47,83.39,81,81,3.33
184,Narrabri,AU,2020-06-14 01:59:28,-30.32,149.78,63.0,82,40,10.29
185,Solnechnyy,RU,2020-06-14 01:59:29,50.72,136.63,55.98,57,94,7.72
186,Ulladulla,AU,2020-06-14 01:58:03,-35.35,150.47,64.4,42,0,18.34
187,Hun,LY,2020-06-14 01:59:29,29.13,15.95,77.99,23,0,15.17
188,Pemba,MZ,2020-06-14 01:59:29,-12.97,40.52,71.73,75,30,17.07
189,Santa Isabel Do Rio Negro,BR,2020-06-14 01:59:30,-0.41,-65.02,73.44,97,89,2.24
190,Poronaysk,RU,2020-06-14 01:59:30,49.22,143.12,59.45,62,74,3.11
191,Sydney Mines,CA,2020-06-14 01:59:30,46.24,-60.22,52.0,87,75,9.17
192,Padang,ID,2020-06-14 01:55:46,-0.95,100.35,85.75,57,7,0.78
193,Tasiilaq,GL,2020-06-14 01:59:30,65.61,-37.64,39.2,86,100,11.41
194,Nome,US,2020-06-14 01:57:39,64.5,-165.41,69.01,48,1,16.11
195,Kruisfontein,ZA,2020-06-14 01:59:31,-34.0,24.73,49.19,57,50,5.26
196,Mahebourg,MU,2020-06-14 01:59:31,-20.41,57.7,71.6,94,40,4.7
197,Sikasso,ML,2020-06-14 01:59:31,10.92,-7.0,78.49,73,0,5.84
198,San Patricio,MX,2020-06-14 01:59:31,19.22,-104.7,82.4,78,75,11.41
199,Guerrero Negro,MX,2020-06-14 01:59:32,27.98,-114.06,66.79,68,0,21.59
200,Hambantota,LK,2020-06-14 01:59:32,6.12,81.12,78.8,100,20,4.7
